text,time,image_url,likes,comments,shares
"Se registra caída de WhatsApp a nivel mundial, el presidente Moreno ya sabe a quien le va a echar la culpa, como siempre 🙈",1616177370.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/162719557_2886534818334452_5083242011729613845_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=H7GnEHIBbYQAX8Ek8CT&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=e462f1a678049eb2cd3e0ef496bfac0f&oe=60B27CC0,9,3,0
"I Esta mañana el presidente de la república hizo público el nombramiento de Abdalá Bucarám como nuevo ministro de salud hasta finalizar su mandato; expresó que a estas alturas le vale ""paloma"" lo que piense el país entero, mejor dicho siempre le valió lo mismo. Noticia en desarrollo  #Conhumor #noticiafalsa #hemosvuelto #elculimercio",1614614725.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/156259075_2872554103065857_7436967843383244961_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=WMPzux5QkhEAX9y8K-8&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=82f851f7f986981c803c699ed7a37acc&oe=60B0CA63,23,12,0
"Se filtra imagen de la renuncia del ex ministro de salud en donde le dice clarito al patojo que ""ahí queda tu huevada"" con un claro mensaje de ""sálvese quien pueda"". Noticia en desarrollo 😡👉😀",1614551593.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/154813041_2872051856449415_2922181847321909411_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&_nc_ohc=fMJLn1bxodYAX8P9WMd&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=e0b225eb1a2b4032b77355004bf53b16&oe=60B00F6F,19,2,0
"El gobierno flexibiliza la prohibición de quemar monigotes en fin de año, con una excepción, solo se podrán quemar los años viejos de ""Correa"", así lo ha manifestado el presidente a través de su cuenta de Twitter; que ""se merece eso y más ese MMVG"". Noticia en desarrollo 🤣🤣",1608754388.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/131983961_2822358638085404_5992966936099404425_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=c10Jvq5FBmMAX9uJTsY&_nc_oc=AQmw8qONvRlXuG89nggV1A7MzABrONMstKuW4wyoexWw8KQqsEHtuudCG0_VDpmIm2Y&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=d908e7c1b67b6abf55500ad52444cdf5&oe=60B0F4E5,25,15,0
"Cosas que pasan solo en Ecuador, esta mañana un grupo de ""chapas sapos"", sorprendieron a un ""taxista enamorado"" cuando transportaba en la cajuela de su taxi una jaba de bielas, media de lark y ""A LA MOZA""; y encima como copiloto llevaba a su mujer. ""MAESTRO"" exclamaron los chapas al percatarse. Noticia en desarrollo 🤣🤣",1608141562.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/131416156_2816701108651157_2219148066830066892_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=E6ya2mnm0aEAX9AgU3C&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=d4de19bcdb75b4f04a54c839342b0a7f&oe=60B05A68,44,9,0
"🔴. #URGENTE l El presidente de la república ha anunciado esta mañana la compra de cilindros de gas para equipar a la ""policía nacional"" para la lucha contra la delincuencia; manifestó que su gobierno siempre está preocupado por la seguridad ciudadana y ahora si la población ya podrá sentirse segura, al menos hasta que gane las elecciones Guillermo Lasso, porque el ofrece armar a todo mundo hasta los dientes. Noticia en desarrollo 🤣  #ElPeorGobiernoDeLaHistoria #PoliciaEcuador #ConHumor",1607027120.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/128552589_2806358249685443_3086133375005472083_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=5Jq3klP-FSkAX-7sBvZ&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=c7c09f4a9759559af8167d6e4f139051&oe=60B02286,42,26,0
"🔴. #ATENCIÓN l ""Captado en video el momento en que 2 asaltantes armados con pistola en mano intentan robar a un camión despachador de gas; pero se llevaron su buena sopresita"" 🔥 Nos encanta publicar historias como esta con un final tan feliz. Nuestra felicitación a todo el gremio de repartidores de gas que trabajan por un Ecuador mejor #SinDelincuentes 👏😀",1606846358.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,154,60,0
"🔴. #ATENCIÓN l Esta mañana Guillermo Lasso ha salido en ultra defensa de la todavía Ministra del Interior, afirmando que pone sus manos al fuego por ella, que la conoce desde hace mucho tiempo y que su único delito es ser ""bella y sexy"", y que eso sí, da fé que si algo ha repartido en su vida, es el de detroit, nada más. Noticia en desarollo 🤣  #ElPeorGobiernoDeLaHistoria #MariaPaulaRomo #lassoborrero #Elecciones2021 #conhumor #fakenews",1606246930.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/126527657_2798719920449276_8121225111983177713_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=3-qSEAoAyG8AX_KfL2o&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=c588fcd92aaab475743c61aad4cd45b8&oe=60B233F3,44,30,0
"🔴 #ATENCIÓN l La ministra del interior manifestó su total rechazo a la acción violenta de parte de la ""señora ecuatoriana"" que tira cruelmente del pelo a una ""indefensa venezolana"" como se puede ver claramente en el video del asalto en una panadería de Quito, dijo que no descansarán hasta dar con su paradero para que responda ante la justicia. DE RIPLEY ¿qué te parece? 🤭  #ElPeorGobiernoDeLaHistoria #MariaPaulaRomo #soloesbromita #osea #fakenews",1605994095.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/125812289_2796218994032702_9110653312942045224_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=L6MSenNzg3YAX8h7Apj&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=9ed276c004b4908965eb57fb0f482f81&oe=60AF339F,43,12,0
"COMPARTIR 😡👉 Estos son los pillos infelices que atracaron a mano armada un pizzería en el norte de Quito en estos días; si los conoces o sabes de su paradero, colabora con la ciudadanía y DENÚNCIALOS al 1-800-DELITO o envíanos un mensaje por interno a ésta página. Ayúdemonos entre todos, hoy por ti y mañana por mi",1605806876.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,8,1,0
"🛑 #ATENCION l CREO y PSC con tremendo ""culillo"" ante el anuncio de la candidatura de Alvarito Noboa; tal parece que a la derecha le empieza a bajar la diarrea. Noticia en desarrollo 🤣  #Elecciones2021 #LassoBorrero #AlvaritoEsTodo",1605024210.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/124605990_2785792195075382_6560668703220288556_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&_nc_ohc=zXtgexiQd-AAX-2vFtz&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=cce0821bbb88f10155e3796f66ddbd53&oe=60AFBDBD,41,4,0
