text,time,image_url,likes,comments,shares
"La asambleísta Marcela Aguiñaga pidió esta mañana tratar una polémica resolución, en la cual solicita al ejecutivo no grabar con IVA a las plataformas de entretenimiento para adultos. Según la legisladora los ecuatorianos lo que mas necesitan en estos momentos de pandemia es la sana diversión y no que me metan la mano en sus bolsillos.",1600140272.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/119595689_650969072524833_2252646648276081385_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=W1Z-eAEg5wEAX9LiUYv&_nc_ht=scontent.fuio23-1.fna&oh=359ea5fa62064be156c1e787d87d6770&oe=60B0EFA6,67,21,0
"Aunque para la mayoría de ecuatorianos no hay turnos para sacar un Pasaporte, el Presidente de la República, Lenin Moreno, fue le primero en obtener este documento electrónico, según asegura, porque tiene planeado un viaje con su familia el 25 de mayo del 2021, un día luego de entregar su mandato al ganador de las elecciones.",1600139494.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/119613360_650962769192130_6125206640719792192_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=uEw5innlGFQAX8JO8p-&_nc_ht=scontent.fuio23-1.fna&oh=e84bc0527dd76339159af9f03ebb72d1&oe=60B1D7F6,161,75,0
"el Ex secretario de la Presidencia, Alexis Mera, se pronunció sobre esta petición del juez, según Mera esto viola cualquier principio de igualdad. "" Yo tengo el derecho a que el jabón se me caigan las veces que quiera, el juez vulnera mis derechos al pedir jabón líquido, esto es una aberración"" aseguró el sentenciado,",1599588278.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/119010044_645977449690662_2566308704013822315_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=WpMQELx8edcAX9VM83k&_nc_ht=scontent.fuio23-1.fna&oh=ceeae193fc5fd480f94ed041e5e7d00d&oe=60B1B927,75,12,0
"La Ex presentadora de televisión, justificó las últimas transferencias al exterior por más de $1.2 Millones, según Gaby, esto es lo que ganó el mes de febrero en su carreta de Hamburguesas. ""Yo nunca he robado a nadie, eso gané entre enero y febrero vendiendo mis hamburguesas"" aseguró la presentadora.",1599588154.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/118975823_645972039691203_5702854118453038012_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=UkVa5-90NKwAX-tCDBp&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=364ad777047bfa7e4740e657c95455cd&oe=60B22668,163,232,0
"Ante la lluvia de criticas por su capacidad mental, el candidato a la Presidencia, Andrés Arauz aceptó esta noche que tiene un retraso, y que es una condición involuntaria, pero que esto no le quita las ganas de llegar a la Presidencia.",1599185747.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,24,18,0
"Esta mañana, el ex mandatario, adelantándose a la decisión de los jueces en el Caso Sobornos, ofreció aceptar la condena, pero solicitó que se le permita cumplirla por vía telemática, enviando nuevamente una tableta conectada con una transmisión en vivo la cárcel de Latacunga. ""Ya saben que nunca he tenido miedo a cumplir la condena, pero este momento tengo que hacer cuarentena por eso ofrezco acatar la decisión judicial, pero siempre y cuando pueda cumplir esta condena por wifi, y esta tableta sea entregada a mi compañero de celda Jorge Glas"" aclaro Correa.",1599173387.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/118655049_642157266739347_848505179014851792_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=1-a2DBzvEGMAX9HnWIT&_nc_oc=AQlJdPRXHT7_BuaUHMv4SAoH464Tvg4MHaJPSg94jYsSPmdr5OjIFmvuf5gHxFKyYno&_nc_ht=scontent.fuio23-1.fna&oh=3f54391c1a1bab4a758c401f94f300af&oe=60B15285,183,79,0
"Jacobo Bucarám protagoniza incidente dentro de una farmacia de Guayaquil, cuando se negaron a fiarle medicina para los problemas cardiacos de su padre.",1598624287.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,51,73,0
"El ex Presidente y actual candidato a la Asamblea, Abdalá Bucarám solicitó mediante oficio al CNE, un adelanto de $50.000 de su fondo pardidista, para poder pagar los honorarios de sus abogados. ""Es plata que me la van a dar, sólamente estoy pidiendo que me hagan un pequeño abono, porque no tengo para pagar a estos muchachos que me defienden tan profesionalmente"" aseguró.",1598402125.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/118579482_635002947454779_7884303789987301385_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=f03dW_HsTsoAX_c05Rt&_nc_ht=scontent.fuio23-1.fna&oh=c871760621e776fab6c4a6344e496a27&oe=60B24450,158,215,0
"La primera dama del Ecuador, Rocío González, encabezará la lista de candidatos para la Asamblea Nacional. lo hará por la Lista 9, ""Libertad es Pueblo"" que lidera Gary Moreno, hermano del Primer Mandatario, Lenín Moreno.",1598401103.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/118472140_634995294122211_2776962178549261313_n.png?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=20oZSUEeqwMAX_ciPfc&_nc_ht=scontent.fuio23-1.fna&oh=4bd2941271c654f269992d3a0670b210&oe=60AF99EF,52,118,0
"Andrés Arauz, reconocido actor de la serie Los Polivoces, deja la actuación para dedicarse a la política, esta vez como binomio presidencial de Rafael Correa. Según Arauz ahora solo actuará en las convenciones y sobre la tarima para llegar al pueblo mas incauto y de memoria frágil.
Le deseamos éxitos en su nueva faceta.",1597858923.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117745641_630119131276494_1541014135633167252_n.png?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=cOkfa1-ekUcAX_q9ZhE&_nc_ht=scontent.fuio23-1.fna&oh=ce8af170c2bf29fadaeea06859e65c13&oe=60AF19F0,89,42,0
"#EmergenciaCarcelaria
Un nuevo atentado se perpetró esta mañana en la cárcel de Turi.

Véalo con discreción.",1597693623.0,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/tlBBJvkvBea.png,31,3,0
"Los ecuatorianos solidarios con la desaparición de la muñeca #Anabelle, han planteado donar al Museo de Warren otro juguete igual de inutil, pero que podría servir para llenar el gran vació que dejó la terrorífica muñeca perdida.
El Juguete incluye su propia silla y se lo debe alimentar cada noche con arroz con huevo para que duerma feliz.

* Nota: Salida la mercadería, no se aceptan devoluciones",1597428344.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117342463_626148858340188_1970785082856958538_n.png?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=-fuH-zrA1sAAX8NL-Tb&_nc_ht=scontent.fuio23-1.fna&oh=11dd032f645664eea5081207145ee9c2&oe=60B05E51,505,172,0
"Un nuevo allanamiento de la fiscalía se dio esta mañana en la casa de los Bucarám, esta vez para localizar a una muñeca que habría sido robada. Según Abdalá, el siempre conversaba con la muñeca y la tenpia de adorno en su sala. ""Yo no sabía que era robada, lamento mucho, yo no lo sabía"" aseguró el ex mandatario al que se le atribuye un nuevo delito a la lista.",1597427534.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117343434_626141768340897_6933427031079968053_n.png?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=NSb-dsP1TYgAX9fE3h-&_nc_ht=scontent.fuio23-1.fna&oh=2d4fd7528e34c014bdbc6c7e96bb89b2&oe=60B078D3,324,86,0
"Una extraña petición en la plataforma Chage.org se viralizó este miércoles. Se trata de un grupo de ecuatorianos que piden que en el noticiero matutino de #Teleamazonas se transmita el allanamiento en la casa de Carolina Jaume y que las cámaras entren a su dormitorio como lo hicieron con Abdalá. ""La televisión tiene que ser equitativa, ya mostraron al loco, ahora toca que nos muestren como duerme Carolina Jaume o Flor María Palomeque"" aseguran.",1597295302.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117816658_624917381796669_7578331270052327996_n.png?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=CE_6HNdsUXgAX-EVFQp&_nc_ht=scontent.fuio23-1.fna&oh=c092b4cc6b0b79771e97d2b08abd6f7b&oe=60B0D0BB,435,44,0
"Según la evaluación médico-psicológica realizada esta tarde al ex presidente Abdalá Bucarám, este no podrá ser encerrado nunca, ya que los exámenes indican que padece de #claustrofobia. El Doctor quien es amigo cercano de la familia y que está a cargo de su valoración recomendó que Bucarám regrese a su domicilio y que tenga la posibilidad de salir los fines de semana para poder ""estirar las piernas""",1597293919.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117112294_624905718464502_4669893925753994783_n.png?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=g5yvti3sDvQAX_V6hPu&_nc_ht=scontent.fuio23-1.fna&oh=a7175392983c53188c1367f44ef286f2&oe=60B263C6,212,178,0
"El primer mandatario, notablemente molesto se refirió a la detención del ex presidente Abdalá Bucarám, y pidio de favor que Dalo regrese al Ecuador para encarar a la justicia, mientras que a Jacobo Bucarám le dio un plazo de una semana para que se entregue.",1597251069.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117527069_624510345170706_7777940944072094189_n.png?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=xBxxgqkZZmQAX9rPofN&_nc_ht=scontent.fuio23-1.fna&oh=0c04f85022192b3871a04637f28ce244&oe=60B0453E,229,106,0
El ex presidente Rafael Correa se mostró muy molesto con la detención del líder roldosista Abdalá Bucarám. Correa aseguró que la Ministra de Gobierno ha violado sus derechos humanos y que el Ecuador deberá recompensar toda esta maldad contra esta noble familia en su debido tiempo.,1597250765.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117444608_624507625170978_7228848339598522023_n.png?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ijO-d4aHZ0gAX9RjpoA&_nc_ht=scontent.fuio23-1.fna&oh=3781bce3e532f3cafcef8bb9c61d8eb2&oe=60B0D55A,118,245,0
"En una entrevista exclusiva, el Ex Presidente habló sobre los audios entre éñ y el ciudadano israelí. ""No permitiré que pongan en tela de duda la palabra de los Bucarám, yo le aseguré que iba a salir de la cárcel, no le dije cómo, ahora ya esta afuera"" aseguró el ex mandatario.",1597160860.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/117106485_623535081934899_8267205559389495085_n.png?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=x9p-0ZfKYQMAX8aaWts&_nc_ht=scontent.fuio23-1.fna&oh=70e339f055247c33f0d4510f1a267cb2&oe=60B06D0B,310,85,0
